incident_name,county,fire_danger_score
Reservoir Fire,Santa Clara,66.66666666666667
Lopez Fire,San Luis Obispo,66.66666666666667
Kennedy Fire,Riverside,53.333333333333336
Tulloch Fire,Tuolumne,53.333333333333336
Cow Fire,Shasta,46.666666666666664
Electra Fire,Amador,46.666666666666664
Willow Fire,San Diego,53.333333333333336
Hwy Fire,Butte,66.66666666666667
Chaparral Fire,El Dorado,46.666666666666664
Warren Fire,Riverside,46.666666666666664
Del Fire,Stanislaus,46.666666666666664
Elk Fire,Glenn,53.333333333333336
American Fire,Napa,66.66666666666667
Point Fire ,Santa Clara,46.666666666666664
Dales Fire,Tehama,46.666666666666664
Little Fire,Alameda,46.666666666666664
Cross Fire,Monterey,86.66666666666667
Cross Fire,San Luis Obispo,86.66666666666667
Corning Fire ,Tehama,53.333333333333336
Inghram Fire,Tehama,46.666666666666664
Merrill Fire,Contra Costa,53.333333333333336
Eagle Fire,Riverside,46.666666666666664
Reche Fire,Riverside,73.33333333333333
Plains Fire,Shasta,53.333333333333336
Wolf Fire,Riverside,66.66666666666667
Saddle Ridge Fire,Los Angeles,93.33333333333333
Bitter Fire,San Luis Obispo,46.666666666666664
Olivas Fire,Ventura,60.0
Horse Fire,Lassen,53.333333333333336
Johnson Fire ,Riverside,66.66666666666667
Fairmont Fire,San Diego,46.666666666666664
Real Fire,Santa Barbara,86.66666666666667
Mud Fire ,Fresno,60.0
Beaumont Fire,San Bernardino,46.666666666666664
Palisades Fire,Los Angeles,60.0
Kincade Fire,Sonoma,93.33333333333333
Nelson Fire ,Butte,53.333333333333336
Cabrillo Fire,San Mateo,53.333333333333336
Mines Fire,Alameda,46.666666666666664
Sawday Fire ,San Diego,53.333333333333336
Miller Fire,San Diego,66.66666666666667
Rawson Fire,Tehama,66.66666666666667
Cypress Complex,Contra Costa,60.0
Sky Fire ,Contra Costa,60.0
Glencove Fire ,Solano,60.0
Burris Fire,Mendocino,80.0
Forest Fire,Contra Costa,53.333333333333336
Getty Fire ,Los Angeles,80.0
Easy Fire,Ventura,80.0
Hill Fire ,Riverside,73.33333333333333
46 Fire,Riverside,73.33333333333333
Hillside Fire,San Bernardino,80.0
Maria Fire ,Ventura,93.33333333333333
Sobrante Fire ,Riverside,46.666666666666664
Ranch Fire,Tehama,80.0
Eagle Fire,Lake,53.333333333333336
Cave Fire (No Longer a CAL FIRE Incident),Santa Barbara,80.0
Antelope Fire,Sierra,53.333333333333336
Beegum Fire,Tehama,53.333333333333336
Wood Fire,Lassen,53.333333333333336
Baseball Fire,Glenn,66.66666666666667
Baseball Fire,Mendocino,66.66666666666667
Grizzly Fire,Glenn,66.66666666666667
Carter Fire ,Imperial,66.66666666666667
Red Fire ,Tehama,46.666666666666664
Byron Fire,Contra Costa,53.333333333333336
Interstate 5 Fire,Kings,66.66666666666667
Hollister Fire,Santa Barbara,80.0
Candy Fire,Butte,46.666666666666664
Gilman Fire,Riverside,46.666666666666664
Spanish Fire ,Napa,46.666666666666664
Range Fire,San Luis Obispo,73.33333333333333
Harley Fire,Riverside,53.333333333333336
Horn Fire ,Lassen,53.333333333333336
Smoketree Fire,Riverside,66.66666666666667
Wildlife Fire,Solano,66.66666666666667
Brock Fire,Shasta,46.666666666666664
Colleen Fire,Santa Clara,66.66666666666667
Karchner Fire,Placer,53.333333333333336
Lakeville Fire,Sonoma,60.0
McGary Fire ,Solano,53.333333333333336
Gulch Fire,Sonoma,80.0
Quail Fire,Solano,93.33333333333333
Willow Fire ,Contra Costa,53.333333333333336
Hunters Fire,Mariposa,53.333333333333336
Sperry Fire,Stanislaus,53.333333333333336
Grand Fire,Riverside,46.666666666666664
Bradley Fire ,Monterey,60.0
Sierra Fire,Riverside,53.333333333333336
Oak Fire,Riverside,46.666666666666664
Vineyard Fire ,Mendocino,60.0
India Fire,San Diego,80.0
Elizabeth Fire,Ventura,86.66666666666667
Soda Fire,San Luis Obispo,66.66666666666667
Lime Fire,Ventura,80.0
Skyline Fire,San Diego,53.333333333333336
Border 7 Fire,San Diego,73.33333333333333
Watt Fire,Placer,53.333333333333336
Grant Fire,Sacramento,93.33333333333333
Hog Fire,Fresno,80.0
Cornetts Fire,Mariposa,66.66666666666667
Dawson Fire ,Riverside,46.666666666666664
Hopland Fire,Mendocino,46.666666666666664
Avila Fire,San Luis Obispo,86.66666666666667
Bitter Fire ,San Benito,80.0
Riata Fire ,San Luis Obispo,46.666666666666664
Walker Fire,Calaveras,93.33333333333333
Nelson Fire ,Butte,53.333333333333336
Liberty Fire,San Joaquin,53.333333333333336
Ridge Fire,Monterey,60.0
Baker Fire,Kern,60.0
Nelson Fire,Placer,60.0
Fork Fire,Tulare,73.33333333333333
Teddy Fire,Butte,46.666666666666664
Springs Fire,Tulare,66.66666666666667
Honcut Fire,Butte,53.333333333333336
Quarter Fire,Tuolumne,66.66666666666667
Hunter Fire,Monterey,80.0
Stage Fire,Monterey,53.333333333333336
Grade Fire ,Tulare,86.66666666666667
Rico Fire ,Monterey,66.66666666666667
River Fire,San Luis Obispo,46.666666666666664
Sycamore Fire,Fresno,46.666666666666664
R-2 Fire,Lassen,73.33333333333333
R-3 Fire,Lassen,80.0
58 Fire,Riverside,46.666666666666664
Diablo Fire,Stanislaus,60.0
Bend Fire,San Luis Obispo,66.66666666666667
Aurora Fire,Mono,80.0
Poeville Fire,State of Nevada,86.66666666666667
Pass Fire,Merced,86.66666666666667
Gage Fire,San Luis Obispo,46.666666666666664
Muck Fire ,Lassen,46.666666666666664
Avacado Fire,Butte,66.66666666666667
Flat Fire,Trinity,66.66666666666667
Bena Fire,Kern,93.33333333333333
Rowher Fire,Los Angeles,86.66666666666667
Bonadelle Fire,Madera,66.66666666666667
Soda Fire ,San Luis Obispo,80.0
Mount R Fire,San Bernardino,53.333333333333336
Sheridan Fire,Alameda,60.0
Park Fire,Santa Clara,66.66666666666667
Crews Fire,Santa Clara,93.33333333333333
Soledad Fire,Los Angeles,86.66666666666667
Patterson Fire,San Joaquin,60.0
Mountain Meadow Fire ,Solano,53.333333333333336
Nail Fire,Colusa,60.0
Tripp Fire ,Riverside,46.666666666666664
Alum Fire,Santa Clara,46.666666666666664
Power Fire,Madera,73.33333333333333
Elliot Fire,Riverside,46.666666666666664
Robinson Fire,Butte,60.0
Casino Fire,Riverside,73.33333333333333
Mineral Fire,Fresno,93.33333333333333
Coyote Fire,San Benito,80.0
Ben Fire,Mariposa,53.333333333333336
Valley Fire ,Yuba,66.66666666666667
Hollow Fire,Alameda,66.66666666666667
Pitzer Fire,San Bernardino,73.33333333333333
Badger Fire,Siskiyou,80.0
Hog Fire,Lassen,100.0
Platina Fire,Shasta,80.0
Gold Fire,Lassen,93.33333333333333
Milepost 21 Fire,Humboldt,66.66666666666667
Feather Fire,Butte,46.666666666666664
Holland Fire ,Contra Costa,53.333333333333336
Easton Fire,San Bernardino,53.333333333333336
Rabbit Fire ,Madera,60.0
Iris Fire,Mono,66.66666666666667
July Complex,Siskiyou,100.0
July Complex,Modoc,100.0
Jack Fire,Riverside,60.0
Hill Fire,Colusa,60.0
Karen Fire,Riverside,66.66666666666667
Ione Fire ,Sacramento,53.333333333333336
Ridge Fire,Los Angeles,73.33333333333333
Lincoln Fire,Humboldt,60.0
Branch Fire,San Luis Obispo,93.33333333333333
Brook Fire,San Bernardino,66.66666666666667
Clay Fire,Sacramento,66.66666666666667
Rabbit Fire,Riverside,60.0
Dam Fire,Los Angeles,66.66666666666667
Sheep Fire,Kern,60.0
Stump Fire,Tehama,80.0
Castaic Fire,Los Angeles,73.33333333333333
Pond Fire,San Luis Obispo,80.0
Sophia Fire,El Dorado,53.333333333333336
Water Fire,Riverside,66.66666666666667
North Fire,Lassen,93.33333333333333
Sites Fire ,Colusa,73.33333333333333
